station,model,what_it_is,can_extrapolate_trend,cv_folds,rmse_mm_mean,rmse_mm_std,mae_mm_mean,mae_mm_std,r2_mean,r2_std,prediction_2100_m,change_vs_last_observed_mm
Leixões,Linear Regression,The simplest machine learning regression model: one straight line through all the years. Also used as the plain baseline the other models are compared against.,True,5,66.2,63.6,59.9,63.1,-8.252,15.379,7.17,27.5
Leixões,Ridge Regression,"A straight-line model like Linear Regression, with a small built-in caution against leaning too hard on the trend. With only one input (year), expect this to look close to Linear Regression.",True,5,63.5,58.1,57.2,57.8,-7.138,13.167,7.168,25.4
Leixões,Lasso Regression,"Similar caution to Ridge, but strong enough that it can shrink the trend's importance all the way to zero. If its 2100 number comes out flat, that means the penalty erased the trend — see the note printed below its result if that happens.",True,5,42.4,13.3,34.2,13.2,-1.471,1.713,7.062,-80.6
Leixões,K-Nearest Neighbors,"Predicts a year by averaging the most similar years it has already seen. Has no concept of a trend continuing past its training years, so it cannot extrapolate to 2100 by design.",False,5,46.8,27.7,40.5,27.7,-2.01,3.288,7.119,-23.5
Leixões,Decision Tree,"Splits the observed years into a small set of yes/no rules. Like K-Nearest Neighbors, it can only repeat values from years it has already seen.",False,5,49.9,21.7,43.3,23.3,-6.136,11.141,7.143,0.0
Leixões,Random Forest,Many decision trees averaged together. Included on purpose as a 'wrong tool for this job' example — see the note printed below its result.,False,5,42.6,11.3,35.3,11.6,-2.261,3.544,7.134,-8.7
Leixões,Gradient Boosting,"Many small decision trees built one after another. Built from the same kind of trees as Random Forest, so it inherits the same inability to extrapolate.",False,5,49.1,21.9,42.6,23.5,-6.001,11.034,7.14,-2.5
Leixões,Support Vector Regression,Kept to a straight line on purpose so it does not invent fake curves from a small number of data points.,True,5,68.3,56.0,61.5,55.7,-8.364,12.981,7.198,54.9
Leixões,Gaussian Process Regression,Combines a trend component (so it keeps rising instead of reverting to the historical average once past the last observed year) with a wiggle component (so it still tracks short-term ups and downs). Also reports how confident it is.,True,5,50.1,16.8,40.8,16.1,-2.491,2.037,7.17,27.1
Sines,Linear Regression,The simplest machine learning regression model: one straight line through all the years. Also used as the plain baseline the other models are compared against.,True,5,35.4,15.5,31.9,14.1,-1.712,1.553,7.43,238.8
Sines,Ridge Regression,"A straight-line model like Linear Regression, with a small built-in caution against leaning too hard on the trend. With only one input (year), expect this to look close to Linear Regression.",True,5,35.7,14.8,32.4,13.4,-1.789,1.482,7.421,230.6
Sines,Lasso Regression,"Similar caution to Ridge, but strong enough that it can shrink the trend's importance all the way to zero. If its 2100 number comes out flat, that means the penalty erased the trend — see the note printed below its result if that happens.",True,5,60.6,23.0,56.0,24.9,-14.688,19.81,7.102,-89.1
Sines,K-Nearest Neighbors,"Predicts a year by averaging the most similar years it has already seen. Has no concept of a trend continuing past its training years, so it cannot extrapolate to 2100 by design.",False,5,35.6,12.7,31.3,12.3,-2.631,3.26,7.176,-15.1
Sines,Decision Tree,"Splits the observed years into a small set of yes/no rules. Like K-Nearest Neighbors, it can only repeat values from years it has already seen.",False,5,32.9,11.3,26.4,11.3,-1.59,1.954,7.191,0.0
Sines,Random Forest,Many decision trees averaged together. Included on purpose as a 'wrong tool for this job' example — see the note printed below its result.,False,5,31.7,5.6,26.1,4.2,-1.372,1.138,7.187,-4.1
Sines,Gradient Boosting,"Many small decision trees built one after another. Built from the same kind of trees as Random Forest, so it inherits the same inability to extrapolate.",False,5,33.0,10.9,26.5,10.8,-1.597,1.885,7.19,-0.9
Sines,Support Vector Regression,Kept to a straight line on purpose so it does not invent fake curves from a small number of data points.,True,5,40.4,24.2,36.2,23.0,-2.563,3.084,7.456,265.6
Sines,Gaussian Process Regression,Combines a trend component (so it keeps rising instead of reverting to the historical average once past the last observed year) with a wiggle component (so it still tracks short-term ups and downs). Also reports how confident it is.,True,5,37.2,13.0,31.0,12.2,-1.925,1.249,7.414,223.3
